Source,Target,Type,Id,Label,timeset,Weight
ASV0010,ASV0527,Undirected,0,,,1.698032
ASV0010,ASV1379,Undirected,1,,,1.718459
ASV0010,ASV1644,Undirected,2,,,1.713352
ASV0018,ASV0274,Undirected,3,,,1.80199
ASV0018,ASV0610,Undirected,4,,,1.609637
ASV0018,ASV0849,Undirected,5,,,1.745704
ASV0018,ASV0941,Undirected,6,,,1.706098
ASV0018,ASV0955,Undirected,7,,,1.614851
ASV0018,ASV1112,Undirected,8,,,1.616506
ASV0018,ASV1144,Undirected,9,,,1.744746
ASV0018,ASV1222,Undirected,10,,,1.763519
ASV0026,ASV0287,Undirected,11,,,1.633435
ASV0026,ASV0358,Undirected,12,,,1.991736
ASV0026,ASV0397,Undirected,13,,,2
ASV0026,ASV0621,Undirected,14,,,2
ASV0026,ASV0794,Undirected,15,,,1.991736
ASV0026,ASV0908,Undirected,16,,,1.991736
ASV0026,ASV0924,Undirected,17,,,1.670217
ASV0026,ASV1068,Undirected,18,,,2
ASV0026,ASV1402,Undirected,19,,,1.991736
ASV0026,ASV1599,Undirected,20,,,2
ASV0026,ASV1932,Undirected,21,,,2
ASV0026,ASV1971,Undirected,22,,,2
ASV0026,ASV2073,Undirected,23,,,1.991736
ASV0026,ASV2091,Undirected,24,,,2
ASV0030,ASV0274,Undirected,25,,,1.611286
ASV0030,ASV0325,Undirected,26,,,1.620482
ASV0030,ASV0497,Undirected,27,,,1.664184
ASV0030,ASV0610,Undirected,28,,,1.633342
ASV0030,ASV1112,Undirected,29,,,1.808336
ASV0030,ASV1657,Undirected,30,,,1.647726
ASV0037,ASV0142,Undirected,31,,,2
ASV0037,ASV1432,Undirected,32,,,2
ASV0046,ASV0245,Undirected,33,,,2
ASV0046,ASV0492,Undirected,34,,,2
ASV0046,ASV0508,Undirected,35,,,2
ASV0046,ASV0600,Undirected,36,,,1.670217
ASV0046,ASV0761,Undirected,37,,,1.670217
ASV0046,ASV0768,Undirected,38,,,2
ASV0046,ASV0949,Undirected,39,,,2
ASV0046,ASV0993,Undirected,40,,,1.991736
ASV0046,ASV1607,Undirected,41,,,2
ASV0046,ASV1612,Undirected,42,,,2
ASV0046,ASV1632,Undirected,43,,,1.991736
ASV0046,ASV1651,Undirected,44,,,2
ASV0046,ASV1921,Undirected,45,,,1.991736
ASV0046,ASV1998,Undirected,46,,,1.663315
ASV0046,ASV2055,Undirected,47,,,1.991736
ASV0046,ASV2115,Undirected,48,,,1.663315
ASV0047,ASV0309,Undirected,49,,,1.623225
ASV0047,ASV1131,Undirected,50,,,1.708536
ASV0077,ASV0298,Undirected,51,,,2
ASV0077,ASV0521,Undirected,52,,,1.663315
ASV0077,ASV0834,Undirected,53,,,2
ASV0077,ASV1304,Undirected,54,,,2
ASV0077,ASV1327,Undirected,55,,,1.991736
ASV0077,ASV1557,Undirected,56,,,1.991736
ASV0077,ASV1803,Undirected,57,,,1.991736
ASV0082,ASV0117,Undirected,58,,,1.670217
ASV0082,ASV0202,Undirected,59,,,1.670217
ASV0082,ASV0204,Undirected,60,,,1.663315
ASV0082,ASV0486,Undirected,61,,,1.991736
ASV0082,ASV0917,Undirected,62,,,2
ASV0082,ASV1491,Undirected,63,,,1.670217
ASV0082,ASV1653,Undirected,64,,,1.663315
ASV0082,ASV2084,Undirected,65,,,1.663315
ASV0095,ASV0255,Undirected,66,,,1.73963
ASV0095,ASV0389,Undirected,67,,,1.710892
ASV0095,ASV0833,Undirected,68,,,1.683797
ASV0095,ASV0872,Undirected,69,,,1.703856
ASV0095,ASV1145,Undirected,70,,,2
ASV0095,ASV1431,Undirected,71,,,1.667205
ASV0095,ASV1483,Undirected,72,,,1.703151
ASV0095,ASV1890,Undirected,73,,,1.711601
