Source,Target,Type,Id,Label,timeset,Weight,pn
ASV0010,ASV0527,Undirected,0,NA,NA,1.698032,p
ASV0010,ASV1379,Undirected,1,NA,NA,1.718459,p
ASV0010,ASV1644,Undirected,2,NA,NA,1.713352,p
ASV0018,ASV0274,Undirected,3,NA,NA,1.80199,p
ASV0018,ASV0610,Undirected,4,NA,NA,1.609637,p
ASV0018,ASV0849,Undirected,5,NA,NA,1.745704,p
ASV0018,ASV0941,Undirected,6,NA,NA,1.706098,p
ASV0018,ASV0955,Undirected,7,NA,NA,1.614851,p
ASV0018,ASV1112,Undirected,8,NA,NA,1.616506,p
ASV0018,ASV1144,Undirected,9,NA,NA,1.744746,p
ASV0018,ASV1222,Undirected,10,NA,NA,1.763519,p
ASV0026,ASV0287,Undirected,11,NA,NA,1.633435,p
ASV0026,ASV0358,Undirected,12,NA,NA,1.991736,p
ASV0026,ASV0397,Undirected,13,NA,NA,2,p
ASV0026,ASV0621,Undirected,14,NA,NA,2,p
ASV0026,ASV0794,Undirected,15,NA,NA,1.991736,p
ASV0026,ASV0908,Undirected,16,NA,NA,1.991736,p
ASV0026,ASV0924,Undirected,17,NA,NA,1.670217,p
ASV0026,ASV1068,Undirected,18,NA,NA,2,p
ASV0026,ASV1402,Undirected,19,NA,NA,1.991736,p
ASV0026,ASV1599,Undirected,20,NA,NA,2,p
ASV0026,ASV1932,Undirected,21,NA,NA,2,p
ASV0026,ASV1971,Undirected,22,NA,NA,2,p
ASV0026,ASV2073,Undirected,23,NA,NA,1.991736,p
ASV0026,ASV2091,Undirected,24,NA,NA,2,p
ASV0030,ASV0274,Undirected,25,NA,NA,1.611286,p
ASV0030,ASV0325,Undirected,26,NA,NA,1.620482,p
ASV0030,ASV0497,Undirected,27,NA,NA,1.664184,p
ASV0030,ASV0610,Undirected,28,NA,NA,1.633342,p
ASV0030,ASV1112,Undirected,29,NA,NA,1.808336,p
ASV0030,ASV1657,Undirected,30,NA,NA,1.647726,p
ASV0037,ASV0142,Undirected,31,NA,NA,2,p
ASV0037,ASV1432,Undirected,32,NA,NA,2,p
ASV0046,ASV0245,Undirected,33,NA,NA,2,p
ASV0046,ASV0492,Undirected,34,NA,NA,2,p
ASV0046,ASV0508,Undirected,35,NA,NA,2,p
ASV0046,ASV0600,Undirected,36,NA,NA,1.670217,p
ASV0046,ASV0761,Undirected,37,NA,NA,1.670217,p
ASV0046,ASV0768,Undirected,38,NA,NA,2,p
ASV0046,ASV0949,Undirected,39,NA,NA,2,p
ASV0046,ASV0993,Undirected,40,NA,NA,1.991736,p
ASV0046,ASV1607,Undirected,41,NA,NA,2,p
ASV0046,ASV1612,Undirected,42,NA,NA,2,p
ASV0046,ASV1632,Undirected,43,NA,NA,1.991736,p
ASV0046,ASV1651,Undirected,44,NA,NA,2,p
ASV0046,ASV1921,Undirected,45,NA,NA,1.991736,p
ASV0046,ASV1998,Undirected,46,NA,NA,1.663315,p
ASV0046,ASV2055,Undirected,47,NA,NA,1.991736,p
ASV0046,ASV2115,Undirected,48,NA,NA,1.663315,p
ASV0047,ASV0309,Undirected,49,NA,NA,1.623225,p
ASV0047,ASV1131,Undirected,50,NA,NA,1.708536,p
ASV0077,ASV0298,Undirected,51,NA,NA,2,p
ASV0077,ASV0521,Undirected,52,NA,NA,1.663315,p
ASV0077,ASV0834,Undirected,53,NA,NA,2,p
ASV0077,ASV1304,Undirected,54,NA,NA,2,p
ASV0077,ASV1327,Undirected,55,NA,NA,1.991736,p
ASV0077,ASV1557,Undirected,56,NA,NA,1.991736,p
ASV0077,ASV1803,Undirected,57,NA,NA,1.991736,p
ASV0082,ASV0117,Undirected,58,NA,NA,1.670217,p
ASV0082,ASV0202,Undirected,59,NA,NA,1.670217,p
ASV0082,ASV0204,Undirected,60,NA,NA,1.663315,p
ASV0082,ASV0486,Undirected,61,NA,NA,1.991736,p
ASV0082,ASV0917,Undirected,62,NA,NA,2,p
ASV0082,ASV1491,Undirected,63,NA,NA,1.670217,p
ASV0082,ASV1653,Undirected,64,NA,NA,1.663315,p
ASV0082,ASV2084,Undirected,65,NA,NA,1.663315,p
ASV0095,ASV0255,Undirected,66,NA,NA,1.73963,p
ASV0095,ASV0389,Undirected,67,NA,NA,1.710892,p
ASV0095,ASV0833,Undirected,68,NA,NA,1.683797,p
ASV0095,ASV0872,Undirected,69,NA,NA,1.703856,p
ASV0095,ASV1145,Undirected,70,NA,NA,2,p
ASV0095,ASV1431,Undirected,71,NA,NA,1.667205,p
ASV0095,ASV1483,Undirected,72,NA,NA,1.703151,p
ASV0095,ASV1890,Undirected,73,NA,NA,1.711601,p
ASV0095,ASV2005,Undirected,74,NA,NA,1.954751,p
ASV0104,ASV0117,Undirected,75,NA,NA,1.982709,p
ASV0104,ASV0202,Undirected,76,NA,NA,1.982709,p
ASV0104,ASV0204,Undirected,77,NA,NA,1.976945,p
ASV0104,ASV0242,Undirected,78,NA,NA,1.618214,p
ASV0104,ASV0257,Undirected,79,NA,NA,1.994236,p
ASV0104,ASV0317,Undirected,80,NA,NA,1.670217,p
ASV0104,ASV0654,Undirected,81,NA,NA,1.994236,p
ASV0104,ASV0667,Undirected,82,NA,NA,1.670217,p
ASV0104,ASV0939,Undirected,83,NA,NA,2,p
ASV0104,ASV1182,Undirected,84,NA,NA,1.670217,p
ASV0104,ASV1309,Undirected,85,NA,NA,1.994236,p
ASV0104,ASV1486,Undirected,86,NA,NA,1.670217,p
ASV0104,ASV1491,Undirected,87,NA,NA,1.982709,p
ASV0104,ASV1652,Undirected,88,NA,NA,1.982709,p
ASV0104,ASV1653,Undirected,89,NA,NA,1.976945,p
