,Taxonomy
ASV0001,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Xanthobacteraceae; Rhodoplanes
ASV0002,Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Virgibacillus
ASV0003,Bacteria; Chloroflexi; Anaerolineae; Anaerolineales; Anaerolineaceae; uncultured
ASV0004,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Beijerinckiaceae; Methylocystis
ASV0005,Bacteria; Chloroflexi; Anaerolineae; RBG_13_54_9; f; g
ASV0006,Bacteria; Actinobacteriota; Actinobacteria; Micrococcales; Microbacteriaceae; Lysinimonas
ASV0007,Bacteria; Chloroflexi; Anaerolineae; SBR1031; f; g
ASV0008,Bacteria; Firmicutes; Clostridia; Peptostreptococcales_Tissierellales; Sedimentibacteraceae; Sedimentibacter
ASV0009,Bacteria; Gemmatimonadota; Gemmatimonadetes; Gemmatimonadales; Gemmatimonadaceae; uncultured
ASV0010,Bacteria; Firmicutes; Clostridia; Caldicoprobacterales; Caldicoprobacteraceae; Caldicoprobacter
ASV0011,Bacteria; Firmicutes; Clostridia; Gracilibacteraceae; Lutispora; g
ASV0012,Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; SC_I_84; g
ASV0013,Bacteria; Patescibacteria; Parcubacteria; Candidatus_Moranbacteria; f; g
ASV0014,Bacteria; Actinobacteriota; Actinobacteria; Corynebacteriales; Mycobacteriaceae; Mycobacterium
ASV0015,Archaea; Crenarchaeota; Bathyarchaeia; o; f; g
ASV0016,Bacteria; Acidobacteriota; Acidobacteriae; Solibacterales; Solibacteraceae; Candidatus_Solibacter
ASV0017,Bacteria; Acidobacteriota; Vicinamibacteria; Vicinamibacterales; uncultured; g
ASV0018,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Hyphomicrobiaceae; Hyphomicrobium
ASV0020,Bacteria; Acidobacteriota; Vicinamibacteria; Vicinamibacterales; f; g
ASV0021,Bacteria; Firmicutes; D8A_2; o; f; g
ASV0022,Bacteria; Desulfobacterota; Desulfuromonadia; Geobacterales; Geobacteraceae; Geobacter
ASV0023,Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Nitrosomonadaceae; MND1
ASV0024,Bacteria; Firmicutes; Syntrophomonadia; Syntrophomonadales; Syntrophomonadaceae; Syntrophomonas
ASV0025,Bacteria; Patescibacteria; Microgenomatia; Candidatus_Woesebacteria; f; g
ASV0026,Bacteria; Firmicutes; Clostridia; Lachnospirales; Lachnospiraceae; Herbinix
ASV0028,Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidetes_vadinHA17; g
ASV0029,Bacteria; Verrucomicrobiota; Chlamydiae; Chlamydiales; Parachlamydiaceae; Neochlamydia
ASV0030,Bacteria; Chloroflexi; Anaerolineae; Anaerolineales; Anaerolineaceae; Leptolinea
ASV0031,Bacteria; Firmicutes; Desulfitobacteriia; Desulfitobacteriales; SyntrophobASVlaceae; Candidatus_Dichloromethanomonas
ASV0032,Bacteria; Firmicutes; Clostridia; Oscillospirales; Hungateiclostridiaceae; HN_HF0106
ASV0033,Bacteria; Planctomycetota; Phycisphaerae; Tepidisphaerales; WD2101_soil_group; g
ASV0035,Bacteria; Verrucomicrobiota; Verrucomicrobiae; Pedosphaerales; Pedosphaeraceae; ADurb_Bin063_1
ASV0036,Bacteria; Desulfobacterota; Desulfuromonadia; Geobacterales; Geobacteraceae; Geobacter
ASV0037,Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas
ASV0038,Bacteria; Nitrospirota; 4_29_1; o; f; g
ASV0039,Bacteria; Proteobacteria; Gammaproteobacteria; uncultured; f; g
ASV0040,Bacteria; Proteobacteria; Alphaproteobacteria; Defluviicoccales; Defluviicoccaceae; Defluviicoccus
ASV0041,Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidetes_vadinHA17; g
ASV0042,Bacteria; Proteobacteria; Gammaproteobacteria; Steroidobacterales; Steroidobacteraceae; uncultured
ASV0043,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Rhizobiaceae; Mesorhizobium
ASV0044,Bacteria; Firmicutes; Clostridia; Peptostreptococcales_Tissierellales; Sedimentibacteraceae; Sedimentibacter
ASV0045,Bacteria; Acidobacteriota; Acidobacteriae; Solibacterales; Solibacteraceae; Candidatus_Solibacter
ASV0046,Bacteria; Firmicutes; Clostridia; Gracilibacteraceae; Gracilibacter; g
ASV0047,Bacteria; Armatimonadota; Fimbriimonadia; Fimbriimonadales; Fimbriimonadaceae; g
ASV0048,Bacteria; Bacteroidota; Bacteroidia; Chitinophagales; Chitinophagaceae; Flavisolibacter
ASV0049,Bacteria; Gemmatimonadota; S0134_terrestrial_group; o; f; g
ASV0050,Bacteria; Acidobacteriota; Acidobacteriae; AMGG11; f; g
ASV0051,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Beijerinckiaceae; Methylobacterium_Methylorubrum
ASV0052,Bacteria; Myxococcota; Polyangia; Polyangiales; BIrii41; g
ASV0053,Bacteria; Myxococcota; Myxococcia; Myxococcales; Myxococcaceae; P3OB_42
ASV0054,Bacteria; Verrucomicrobiota; Chlamydiae; Chlamydiales; cvE6; g
ASV0055,Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Prolixibacteraceae; BSV13
ASV0056,Bacteria; Armatimonadota; Fimbriimonadia; Fimbriimonadales; Fimbriimonadaceae; g
ASV0057,Bacteria; Planctomycetota; Phycisphaerae; Tepidisphaerales; WD2101_soil_group; g
ASV0058,Bacteria; Gemmatimonadota; Gemmatimonadetes; Gemmatimonadales; Gemmatimonadaceae; uncultured
ASV0059,Bacteria; Firmicutes; Clostridia; Peptostreptococcales_Tissierellales; Sedimentibacteraceae; Sedimentibacter
ASV0060,Bacteria; Myxococcota; Polyangia; Polyangiales; Sandaracinaceae; Sandaracinus
ASV0061,Bacteria; Verrucomicrobiota; Chlamydiae; Chlamydiales; Simkaniaceae; uncultured
ASV0062,Bacteria; Firmicutes; Bacilli; Paenibacillales; Paenibacillaceae; Cohnella
ASV0063,Bacteria; Firmicutes; Bacilli; Paenibacillales; Paenibacillaceae; Paenibacillus
ASV0064,Bacteria; Planctomycetota; Planctomycetes; uncultured; f; g
ASV0065,Bacteria; Bacteroidota; Bacteroidia; Sphingobacteriales; AKYH767; g
ASV0066,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Xanthobacteraceae; Rhodoplanes
ASV0067,Bacteria; Patescibacteria; Microgenomatia; Candidatus_Woesebacteria; f; g
ASV0069,Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia_Caballeronia_Paraburkholderia
ASV0070,Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; Magnetospirillaceae; Magnetospirillum
ASV0071,Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidetes_vadinHA17; g
ASV0072,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Xanthobacteraceae; Rhodoplanes
ASV0073,Bacteria; Acidobacteriota; Vicinamibacteria; Vicinamibacterales; uncultured; g
ASV0074,Bacteria; Planctomycetota; Phycisphaerae; Tepidisphaerales; WD2101_soil_group; g
ASV0075,Bacteria; Firmicutes; Desulfitobacteriia; Desulfitobacteriales; uncultured; g
ASV0076,Bacteria; Bacteroidota; Ignavibacteria; Ignavibacteriales; Ignavibacteriaceae; Ignavibacterium
ASV0077,Bacteria; Firmicutes; Clostridia; Oscillospirales; Hungateiclostridiaceae; uncultured
ASV0078,Bacteria; Zixibacteria; c; o; f; g
ASV0079,Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Comamonadaceae; Brachymonas
ASV0080,Bacteria; Firmicutes; Clostridia; Peptostreptococcales_Tissierellales; Anaerovoracaceae; Amnipila
ASV0081,Bacteria; Chloroflexi; Anaerolineae; Anaerolineales; Anaerolineaceae; Anaerolinea
ASV0082,Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Alcaligenaceae; Achromobacter
ASV0083,Bacteria; Firmicutes; Symbiobacteriia; Symbiobacteriales; Symbiobacteraceae; uncultured
ASV0084,Bacteria; Firmicutes; Clostridia; Gracilibacteraceae; Gracilibacter; g
