"","function.","Capiro_HLIR65E1.p1368","Capiro_HLIR65E2.p1368","Capiro_HLIR65N1.p1368","Capiro_HLIR65N2.p1368","Capiro_HLIR65P1.p1368","Capiro_HLIR65P2.p1368","Capiro_HLNR32E1.p1368","Capiro_HLNR32E2.p1368","Capiro_HLNR32P1.p1368","Capiro_HLNR32P2.p1368","Capiro_HLNR57E1.p1368","Capiro_HLNR57E2.p1368","Capiro_HLNR57N1.p1368","Capiro_HLNR57N2.p1368","Capiro_HLNR57P1.p1368","Capiro_HLNR57P2.p1368","Capiro_HLSR32E1.p1368","Capiro_HLSR32E2.p1368","Capiro_HLSR32P1.p1368","Capiro_HLSR32P2.p1368","Capiro_HLSR60E1.p1368","Capiro_HLSR60E2.p1368","Capiro_HLSR60N1.p1368","Capiro_HLSR60N2.p1368","Capiro_HLSR60P1.p1368","Capiro_HLSR60P2.p1368","Capiro_L1.p1368","Capiro_L2.p1368","Capiro_SLA32L1.p1368","Capiro_SLA32L2.p1368","Capiro_SLA32P1.p1368","Capiro_SLA32P2.p1368","Capiro_SRA32L1.p1368","Capiro_SRA32L2.p1368","Capiro_SRA32P1.p1368","Capiro_SRA32P2.p1368","Capiro_SRA7L1.p1368","Capiro_SRA7L2.p1368","Capiro_SRA7P1.p1368","Capiro_SRA7P2.p1368","SERDP.PFAS_Capiro_Loring_high_8_to_2_FTOH_day_90","SERDP.PFAS_Capiro_Loring_low_8_to_2_FTOH_day_90","SERDP.PFAS_Capiro_Loring_no_PFAS_day_0","SERDP.PFAS_Capiro_Loring_no_PFAS_day_90","SERDP.PFAS_Capiro_Robins_8_to_2_FTOH_day_90","SERDP.PFAS_Capiro_Robins_no_PFAS_day_7","SERDP.PFAS_Capiro_Robins_no_PFAS_day_90","index"
"159","K00217",4,4,24,2,2,6,10,25,6.6,24,19.2,6.4,105.4,74,16.6,28.6,16,7,8,3,18,10,10,12,10,7,79.2,21.4,430.4,713.6,432.8,945.6,1004,513.6,97,191.4,84.8,231.6,106.6,87.4,119.8,203.2,41.8,329.6,109,908.4,22.6,TRUE
"214","K00299",160.16,182.67,5948,140,299.83,301.67,5676.66,3952.66,4216.54,5901.66,9169.72,9991.8,589.63,679,8522.2,7937.2,507.32,384.82,228.5,178.99,331.01,477.49,297.5,403.5,218,236.33,996.39,5562.79,2617.29,3093.68,3177.09,2800.2,2087.16,2028.22,529,1948.97,364.1,1392.53,3264.2,1566.97,1522.76,1913.74,519.1,1941.04,2781.99,3650.3,5023.36,TRUE
"343","K00496",4,10,484,1,31.5,20,308,211,325,294,432,358,163,130,343,299,55,27.5,18.5,19,47.5,27.5,25,24,23,30.5,108.5,239,1282.5,441.5,2013.5,1312.5,339.83,206.17,35,941,998,3032,6486,3861,807.5,1212,48,1744.5,388.33,852.17,891.33,TRUE
"954","K01560",434.83,647.84,4290.6,150.17,733.83,686.57,4910,3650,3238.7,5211.3,8162.8,8760.83,4545.33,3985.53,6746.7,6426.05,1428.67,1291.5,586.5,539,1179.5,1347.83,749.75,841,588.5,607.67,2845.42,4714.5,6991.73,7110.76,5909.26,6729.82,7570.65,6533.54,961.83,4174.31,402.1,1440.53,3387.54,1961.31,8705.03,7972.08,1612.68,5738.01,4652.47,4951.62,6767.86,TRUE
"955","K01561",85,116.5,2031,39,155.5,161.5,1876,1050.5,1327.6,2473.5,695.2,737.9,4339.07,4023.5,1889.6,2133.6,325.33,207.83,219,175,366,446.5,354,316.5,208.83,192,669.37,1225.4,2241.68,2570.82,2294.3,2428.71,5200.16,2707.1,955,1808.74,109.3,281.6,1115.44,355.74,3760.02,3109.7,389.13,2350.1,2876.99,2428.73,4626.93,TRUE
"956","K01563",54.25,85.34,2649,24.75,148.34,149.85,2938.67,3267,2155,2736,2474,2633,1784.33,2849.68,2369.5,2741,262.7,186.97,112.02,97.06,210.02,226.43,152.68,163.1,93.58,106.08,754.83,3404,1830.58,1914.83,1427,1452.93,1457.49,925.02,149.34,859.34,174,544,1084.5,657,3316.92,2532.34,369.25,1192.17,187.17,1776,71.83,TRUE
"998","K01617",0,11,0,0,11.83,25,4,3,1.8,2,4870.6,5263.2,62.53,185.67,220.8,448.8,32,13.5,0.5,10,14.5,24.5,24,11,19,12.5,153.6,5.2,2246.7,2515.3,2494.4,2533.3,869,986.46,138,696.54,400.4,1181.8,1555.14,991.54,3336.4,2498.1,36.4,1572.8,626,3937.36,80.8,TRUE
"1182","K01865",0,0,3,99,2,0,0,0,0,0,0,2,482,460,0,0,0,0,21,16,5,0,167,121,2,0,75,2,125,63,395,151,0,0,2,35,0,0,0,0,48,81,60,104,25,0,17,TRUE
"2130","K03382",5,11,1,8.5,10.5,10.5,1,0,1,0,0,0,2.5,3,1,0,3,1,3,2.5,7.5,7.5,27.5,19,4,1,12.5,0,9.5,7,4,7,0,0,0,0,0,0,0,0,24,79,9,14,0,0,0,TRUE
"2631","K04091",176.66,229.67,4727.5,73.75,350.08,359.67,3857,2175.5,3025.2,5651,1686.4,1745.8,3812.13,3098,4015.2,4392.7,593.82,399.32,288,279.49,553.51,633.99,378.75,396,315.75,321.83,1308.64,2591.13,3156.57,3874.65,3404.09,4616.31,7883.65,3433.91,1656.5,3134.64,1068.6,3319.53,12036.87,5411.14,4321.98,3273.24,819.26,3252.54,3766.14,4886.8,4491.52,TRUE
