function.,HLIR_ED,HLIR_NA,HLIR_CT,HLNR_ED,HLNR_NA,HLNR_CT,HLSR_ED,HLSR_NA,HLSR_CT,SLA_L,SLA_CT,SRA_L,SRA_CT,HLA_L,HLA_CT,HRA_L,HRA_CT
K00217,4,2,4,12.8,89.7,22.6,14,11,8.5,572,689.2,758.8,144.2,203.2,329.6,109,22.6
K00299,171.415,140,300.75,9580.76,634.315,8229.7,404.25,350.5,227.165,2855.485,2988.645,2057.69,1238.985,1913.74,1941.04,2781.99,5023.36
K00496,7,1,25.75,395,146.5,321,37.5,24.5,26.75,862,1663,273,488,1212,1744.5,388.33,891.33
K01560,541.335,150.17,710.2,8461.815,4265.43,6586.375,1263.665,795.375,598.085,7051.245,6319.54,7052.095,2568.07,7972.08,5738.01,4652.47,6767.86
K01561,100.75,39,158.5,716.55,4181.285,2011.6,406.25,335.25,200.415,2406.25,2361.505,3953.63,1381.87,3109.7,2350.1,2876.99,4626.93
K01563,69.795,24.75,149.095,2553.5,2317.005,2555.25,218.225,157.89,99.83,1872.705,1439.965,1191.255,504.34,2532.34,1192.17,187.17,71.83
K01617,5.5,0,18.415,5066.9,124.1,334.8,19.5,17.5,15.75,2381,2513.85,927.73,417.27,2498.1,1572.8,626,80.8
K01865,0,99,1,1,471,0,2.5,144,1,94,273,0,18.5,81,104,25,17
K03382,8,8.5,10.5,0,2.75,0.5,7.5,23.25,2.5,8.25,5.5,0,0,79,14,0,0
K04091,203.165,73.75,354.875,1716.1,3455.065,4203.95,593.75,387.375,318.79,3515.61,4010.2,5658.78,2395.57,3273.24,3252.54,3766.14,4491.52
K04098,6,5,19.75,44.1,2006.65,73.7,20.75,15.75,9.25,848.83,1084.315,1207.015,273.985,250.07,436.37,643.83,64.7
K04099,0,0,0,0,105,0,0,0,0,90.25,5.25,4.5,54,6,3.5,28.33,1
K04100,25,0,26,0,2001,0,8.5,0,10,2084.25,1031.75,758.25,241,1146,325,905.33,535
K04101,26,0,26,0,2007.335,1,21,2,15.165,2289.25,1302.25,758.25,242,1146,339,989.33,624
K04105,26,2,30.5,3,34.5,2.5,79.5,39.5,30,1297.5,1030,945.5,323,2088,1010,67,21
K04109,5,30,3.7,2.8,138.2,9.8,11,61,1,13.8,4.7,0,0,16,2.8,0,0
K04116,4.5,2,13.9,86.9,289.6,37.95,22,17,15.5,346.35,466.35,313.215,94.285,64.2,164.7,300.5,31.1
K04117,0,0,3.2,44.85,141.4,25.525,2.5,2.5,1.5,374.55,480.4,300.715,75.285,89.2,203.9,277.5,40.1
K05797,3.5,40,12.55,50.785,873.38,44.575,25,34,17.5,84.365,96.55,170.5,297.5,31.5,45.2,61.83,21
K06199,3407.765,3348.47,4582.73,21657.345,9749.575,16006.525,3548.89,5683.63,4066.68,9162.29,9463.7,10633.205,3447.715,8066.92,5975.41,5784.58,7704.18
K07535,6,3,32.15,92.9,297.35,39.45,25,24.5,16,375.35,588.35,364.215,79.285,155.2,227.2,277.5,20.1
K07536,0,0,3.2,44.85,2029.4,25.525,1,1.5,0,378.55,478.65,300.715,67.285,94.2,207.9,277.5,40.1
K07537,5,30,3.7,42.05,141.2,12.425,2.5,57,0,13.8,4.7,0,0,16,2.8,0,0
K07538/K07539,5,34,3.7,42.05,141.2,12.425,2.5,92.5,0,142.8,92.2,0,0,26,9.8,0,0
K07544,0,28,0.2,42.05,141.2,12.425,2,41.5,1,43.8,31.2,2,5.5,20,15.8,26,1
K10220,20.25,2,22,5.5,1902,9.5,19.75,4.5,14,1171,534,560.75,372.5,780.5,240.5,889.66,358
K10221,17.75,2,20,5.5,1892.5,9.5,6.25,0,5,1196.25,575,392.25,150,786,249,467,267
K15514,6.75,0,7.2,44.85,142.4,25.525,1.25,0,0.5,317.3,437.15,306.215,133.285,66.2,156.4,536.5,19.1
K15553,229.5,89.5,321.875,3172.53,2754.965,8416.4,651.67,714.155,871.06,6669.605,6243.165,6937.955,2467.995,6402.35,5309.08,5338.3,8327.64
K15554,210,103,321.125,2611.33,2363.665,6345.75,653.67,691.655,883.81,5324.195,5653.48,5306.505,1938.945,4867.71,4061.34,3988.81,9512.41
K15555,306.835,191,389.71,2553.595,2665.485,6225.95,585.09,801.24,849.06,4482.28,4572.22,5559.765,1932.43,4678.61,3746.87,3026.98,5957.78
K16173,12,136,31,5058.5,54.5,295.5,33.745,156.815,4.935,39,26,3.56,2.44,37.12,12,0,0
K16389,0,0,0,0,0,0,5,7,4,0,0,0,0,0,0,0,0
K16515,3.165,2,2.5,130.25,1476.75,213.75,18.5,12,9.165,108.665,7.75,861,108.5,6,8,51,21
K18242/K18243,11,2,14,8.3,1889.2,22.6,2,0,1.5,1601.25,1333.2,742.715,273.285,1087.2,518.1,972.5,286.1
