function.,sequence,HLNR_ED,HLNR_NA,HLNR_CT
K00217,ASV0114,0,0,0
K00217,ASV0353,0,0,0
K00217,ASV0473,8,85,8.5
K00217,ASV0510,0,0.5,1
K00217,ASV0721,0,0,0
K00217,ASV0835,0,0.5,0
K00217,ASV0932,0,2,0
K00217,ASV1013,0,1,0
K00217,ASV1811,1,0.5,0
K00217,ASV1990,1,0,0
K00217,ASV2030,2.8,0.2,13.1
K00217,ASV2111,0,0,0
K00217,ASV2174,0,0,0
K00217,ASV2185,0,0,0
K00299,ASV0002,11,0,0
K00299,ASV0006,0,0,0
K00299,ASV0014,0,0,0
K00299,ASV0018,2,21,0
K00299,ASV0035,0,0,0
K00299,ASV0043,17,0,1.5
K00299,ASV0051,0,0,0
K00299,ASV0062,0,0,0
K00299,ASV0069,0,0,0
K00299,ASV0079,0,0,0
K00299,ASV0082,0,0,0
K00299,ASV0092,0,0,0
K00299,ASV0095,72.33,0,0
K00299,ASV0097,1539,0,1474
K00299,ASV0114,0,0,0
K00299,ASV0119,0,2,0
K00299,ASV0122,0,1,0
K00299,ASV0129,0,0,0
K00299,ASV0134,0,0,0
K00299,ASV0146,0,0,0
K00299,ASV0153,0,0,2
K00299,ASV0204,0,0,0
K00299,ASV0211,0,1.75,0
K00299,ASV0228,0,0,0
K00299,ASV0229,0,0,0
K00299,ASV0233,0,0,0
K00299,ASV0234,0,0,0
K00299,ASV0237,0,0,0
K00299,ASV0241,0,0,0
K00299,ASV0251,0,0.5,0
K00299,ASV0254,0,0,0
K00299,ASV0264,0,0,0
K00299,ASV0282,0,0,0
K00299,ASV0284,0,0,0
K00299,ASV0308,0,0,0
K00299,ASV0353,0,0,0
K00299,ASV0354,0,24.5,0
K00299,ASV0355,0,0,0
K00299,ASV0372,0,0,0
K00299,ASV0378,0,0,0
K00299,ASV0381,0,4.5,0
K00299,ASV0384,0,0,0
K00299,ASV0399,0,0,0
K00299,ASV0402,0,9,0
K00299,ASV0408,0,1,0
K00299,ASV0431,0,0,5.5
K00299,ASV0446,0,0,0
K00299,ASV0452,349,17.5,299.5
K00299,ASV0461,0,0,0
K00299,ASV0473,8,85,8.5
