PFAS,conc
,
PFCA (3),27.6
,
PFCA (3),37
,
PFCA (3),24
,
PFCA (3),35
,
PFCA (3),31
,
PFCA (3),38
,
PFCA (3),51.9
,
PFCA (3),4.1
,
PFCA (3),4.3
,
PFCA (3),17.2
,
PFCA (3),66.8
,
PFCA (3),8
,
PFCA (3),8.1
,
PFCA (3),130.3
,
PFCA (3),4.9
,
PFCA (3),22.3
,
PFCA (3),46.9
,
PFCA (4),125
,
PFCA (4),47
,
PFCA (4),36
,
PFCA (4),52
,
PFCA (4),43
,
PFCA (4),48
,
PFCA (4),300
,
PFCA (4),500
,
PFCA (4),200
,
PFCA (4),300
,
PFCA (4),200
,
PFCA (4),500
,
PFCA (4),100
,
PFCA (4),200
,
PFCA (4),500
,
PFCA (4),60.6
,
PFCA (4),4.1
,
PFCA (4),9.3
,
PFCA (4),96.4
,
PFCA (4),35.6
,
PFCA (4),35.5
,
PFCA (4),9.4
,
PFCA (4),30.4
,
PFCA (4),10.7
,
PFCA (4),7.5
,
PFCA (4),23.7
,
PFCA (4),12.9
,
PFCA (4),10.8
,
PFCA (4),45.6
,
PFCA (4),77.5
,
PFCA (4),5.3
,
PFCA (4),10.4
,
PFCA (4),32.7
,
PFCA (4),76.6
,
PFCA (5),170
,
PFCA (5),99
,
PFCA (5),110
,
PFCA (5),99
,
PFCA (5),170
,
PFCA (5),100
,
PFCA (5),300
,
PFCA (5),100
,
PFCA (5),100
,
PFCA (5),100
,
PFCA (5),100
,
PFCA (5),100
,
PFCA (5),100
,
PFCA (5),200
,
PFCA (5),143
,
PFCA (5),21.2
,
PFCA (5),3.7
,
PFCA (5),50.3
,
PFCA (5),299
,
PFCA (5),74.5
,
PFCA (5),79.3
,
PFCA (5),0.4
,
PFCA (5),52.8
,
PFCA (5),128.8
,
PFCA (5),42.3
,
PFCA (5),34.5
,
PFCA (5),95.9
,
PFCA (5),48.8
,
PFCA (5),57.2
,
PFCA (5),171.3
,
PFCA (5),414.7
,
PFCA (5),26.2
,
PFCA (5),50.3
,
PFCA (5),165.3
,
PFCA (5),213.8
,
PFCA (6),54
,
PFCA (6),25
,
PFCA (6),22
,
PFCA (6),26
,
PFCA (6),37
,
PFCA (6),40.9
,
PFCA (6),9.9
,
PFCA (6),12.8
,
PFCA (6),24
,
PFCA (6),89.1
,
PFCA (6),22.4
,
PFCA (6),23.2
,
PFCA (6),0.1
,
PFCA (6),16.9
,
PFCA (6),39.3
,
PFCA (6),6.8
,
PFCA (6),5.6
,
PFCA (6),18.9
,
PFCA (6),12.8
,
PFCA (6),6.5
,
PFCA (6),36.7
,
PFCA (6),113.9
,
PFCA (6),7.6
,
PFCA (6),19
,
PFCA (6),24.5
,
PFCA (6),63.7
,
PFCA (7),150
,
PFCA (7),83
,
PFCA (7),93
,
PFCA (7),86
,
PFCA (7),170
,
PFCA (7),100
,
PFCA (7),100
,
PFCA (7),100
,
PFCA (7),100
,
PFCA (7),100
,
PFCA (7),100
,
PFCA (7),100
,
PFCA (7),100
,
PFCA (7),100
,
PFCA (7),132
,
PFCA (7),17.8
,
PFCA (7),3.1
,
PFCA (7),68.6
,
PFCA (7),245
,
PFCA (7),179.7
,
PFCA (7),178.1
,
PFCA (7),0.3
,
PFCA (7),38.7
,
PFCA (7),73.9
,
PFCA (7),22
,
PFCA (7),16.2
,
PFCA (7),49.2
,
PFCA (7),38.1
,
PFCA (7),21.5
,
PFCA (7),84.1
,
PFCA (7),215.1
,
PFCA (7),15.2
,
PFCA (7),37.5
,
PFCA (7),64.7
,
PFCA (7),244.2
,
PFCA (8),0.6
,
PFCA (8),0.8
,
PFCA (8),0.9
,
PFCA (8),0.9
,
PFCA (8),0.2
,
PFCA (8),0.3
,
PFCA (8),37.9
,
PFCA (8),0.5
,
PFCA (8),20.9
,
PFCA (8),0.3
,
PFCA (8),1
,
PFCA (8),0.2
,
PFCA (8),0.6
,
PFCA (9),0.3
,
PFCA (9),0.3
,
PFCA (9),0.4
,
PFCA (9),0.1
,
PFCA (9),0.3
,
PFCA (9),0.2
,
PFCA (9),0.2
,
PFCA (9),0.1
,
PFCA (10),1
,
PFCA (10),0.1
,
PFCA (10),0.1
,
PFCA (10),14.7
,
PFCA (10),8.3
,
PFCA (10),0.1
,
PFCA (11),1.5
,
PFCA (11),0.2
,
PFCA (11),0.1
,
PFCA (11),0.1
,
PFCA (11),0.1
,
PFCA (12),4.9
,
PFCA (12),3.2
,
PFSA (2),11.27149731
,
PFSA (2),7.795701582
,
PFSA (2),9.035942631
,
PFSA (2),7.654164837
,
PFSA (2),11.15441344
,
PFSA (3),193.0628041
,
PFSA (3),167.0041541
,
PFSA (3),175.780938
,
PFSA (3),184.1679942
,
PFSA (3),256.0787118
,
PFSA (4),253.7
,
PFSA (4),380
,
PFSA (4),220
,
PFSA (4),160
,
PFSA (4),210
,
PFSA (4),250
,
PFSA (4),100
,
PFSA (4),100
,
PFSA (4),100
,
PFSA (4),100
,
PFSA (4),100
,
PFSA (4),200
,
PFSA (4),250.1
,
PFSA (4),7.2
,
PFSA (4),10.1
,
PFSA (4),335
,
PFSA (4),183
,
PFSA (4),174
,
PFSA (4),0.1
,
PFSA (4),42.9
,
PFSA (4),89.1
,
PFSA (4),50.4
,
PFSA (4),44.2
,
PFSA (4),165.2
,
PFSA (4),60.6
,
PFSA (4),60.6
,
PFSA (4),203.7
,
PFSA (4),179.5
,
PFSA (4),26.8
,
PFSA (4),37.8
,
PFSA (4),211.1
,
PFSA (4),232.8
,
