PFAS,conc
PFCA (3),0.4
PFCA (3),1
PFCA (3),1.4
PFCA (3),2.4
PFCA (3),3.8
PFCA (3),1
PFCA (3),0.7
PFCA (3),0.2
PFCA (3),2
PFCA (3),0.6
PFCA (3),1.2
PFCA (3),0.1
PFCA (3),1.3
PFCA (3),0.4
PFCA (3),0.2
PFCA (3),0.5
PFCA (3),0.6
PFCA (3),0.5
PFCA (3),0.9
PFCA (3),1.5
PFCA (3),1.8
PFCA (3),2.4
PFCA (3),2.4
PFCA (3),2.8
PFCA (3),1.2
PFCA (4),1
PFCA (4),1.8
PFCA (4),1.1
PFCA (4),0.9
PFCA (4),0.3
PFCA (4),0.1
PFCA (4),0.2
PFCA (4),0.6
PFCA (4),0.1
PFCA (4),0.1
PFCA (4),0.3
PFCA (4),0.2
PFCA (4),0.3
PFCA (4),0.4
PFCA (4),0.3
PFCA (4),0.1
PFCA (4),0.1
PFCA (4),0.5
PFCA (4),0.2
PFCA (4),0.5
PFCA (4),0.2
PFCA (4),0.5
PFCA (4),1.2
PFCA (5),3.8
PFCA (5),0.6
PFCA (5),14.9
PFCA (5),4.8
PFCA (5),1
PFCA (5),1.2
PFCA (5),0.9
PFCA (5),0.5
PFCA (5),2.3
PFCA (5),0.9
PFCA (5),0.1
PFCA (5),1.4
PFCA (5),1.2
PFCA (5),3.4
PFCA (5),1.7
PFCA (5),1.4
PFCA (5),0.6
PFCA (5),3.5
PFCA (5),3.4
PFCA (5),1.6
PFCA (5),0.7
PFCA (5),2.4
PFCA (5),0.9
PFCA (5),1.7
PFCA (5),0.3
PFCA (5),0.7
PFCA (5),6.1
PFCA (5),0.3
PFCA (5),2
PFCA (5),4.4
PFCA (5),1.7
PFCA (5),2.7
PFCA (5),1.7
PFCA (5),1.1
PFCA (5),3.1
PFCA (5),0.6
PFCA (5),1.7
PFCA (5),2
PFCA (5),0.6
PFCA (6),9.2
PFCA (6),0.5
PFCA (6),0.2
PFCA (6),0.1
PFCA (6),0.1
PFCA (6),0.6
PFCA (6),1.6
PFCA (6),0.4
PFCA (6),0.1
PFCA (6),0.5
PFCA (6),3.4
PFCA (6),1.1
PFCA (6),0.6
PFCA (6),0.8
PFCA (6),1.4
PFCA (7),1.9
PFCA (7),3.2
PFCA (7),3.5
PFCA (7),0.1
PFCA (7),3.6
PFCA (7),0.3
PFCA (7),0.2
PFCA (7),0.3
PFCA (7),0.8
PFCA (7),0.9
PFCA (7),0.6
PFCA (7),0.7
PFCA (7),0.3
PFCA (7),0.3
PFCA (7),0.2
PFCA (7),0.1
PFCA (7),2.3
PFCA (7),0.2
PFCA (7),0.5
PFCA (7),0.5
PFCA (7),0.6
